Strategy,Avg Test Edge,Median Test Edge,Positive Windows,Total Windows,Worst Test Edge,Avg Annual Return,Worst Max Drawdown,Avg Exposure,Max Exposure
"Core: Above200+Below20+5D<-2.0%, 1.75x, 7d, StopBelow200+Recover20",0.014813026347202385,0.014740641394054066,6,8,-0.01993318782774245,0.1391233206576486,-0.5165770263745344,1.0767786014689211,1.75
"Core: Above200+Below20+5D<-1.5%, 1.75x, 10d, Recover20",0.014784063733012373,0.020045266517459137,6,8,-0.04987821556887151,0.14133112326154135,-0.5170725683655293,1.1188713950816962,1.75
"Core: Above200+Below20+5D<-3.0%, 2.00x, 10d, Fixed",0.014445485073861591,0.012022936340755908,6,8,-0.05106312367754651,0.13917791835554078,-0.5364104975321045,1.095170951875192,2.0
"Core: Above200+Below20+5D<-1.5%, 2.00x, 5d, StopBelow200+Recover20",0.013986917105417523,0.007378097360649094,6,8,-0.03763333633705468,0.14049125859684217,-0.538038884917734,1.1163278128730467,2.0
"Core: Above200+Below20+5D<-3.0%, 2.00x, 7d, Fixed",0.01392145705419287,0.01797875068060706,6,8,-0.019289455995501692,0.13771444472115646,-0.5127740322557102,1.0726583933604035,2.0
"Core: Above200+Below20+5D<-3.0%, 2.00x, 15d, StopBelow200",0.013780928654905378,0.016437182426830454,6,8,-0.03311175974307434,0.1401030764756053,-0.5286508218379048,1.1183912826549758,2.0
"Core: Above200+Below20+5D<-2.0%, 1.50x, 5d, StopBelow200",0.013050504669408339,0.01136110445677685,6,8,-0.006404828956307451,0.13634631160885613,-0.5181612694571605,1.0565298761914304,1.5
"Core: Above200+Below20+5D<-1.5%, 2.00x, 10d, StopBelow200+Recover20",0.012959429966792876,0.007052165948701894,6,8,-0.04651928474426925,0.14111832139743052,-0.5366210964088048,1.141456493497874,2.0
"Core: Above200+Below20+5D<-1.5%, 1.75x, 5d, Recover20",0.01294897156802001,0.01171952493991002,6,8,-0.03717767858457455,0.13775883561566427,-0.5270869766047096,1.0914673928767047,1.75
"Core: Above200+Below20+5D<-2.0%, 2.00x, 10d, Recover20",0.012793700627059923,0.010594708206772219,6,8,-0.054958385434999535,0.13990065721624864,-0.5253198002869619,1.128647291689144,2.0
